accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,attribute,model,version,seed,fold,best_params
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,base,123,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,tuned,42,2,"{'learning_rate': 0.2, 'max_depth': 3}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,tuned,7,2,"{'learning_rate': 0.05, 'max_depth': 3}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,tuned,123,2,"{'learning_rate': 0.2, 'max_depth': 3}"
0.9950248756218906,0.9922695280950733,0.9950478368512807,0.9878048780487805,0.9968944099378882,1.0,time_of_day,MLP,base,42,2,
0.9966832504145937,0.9948304241967011,0.9966935153797898,0.9918032786885246,0.9979296066252588,1.0,time_of_day,MLP,base,7,2,
0.9933665008291874,0.9897242766095224,0.9934070827146432,0.9838709677419355,0.9958592132505175,0.9999137336093858,time_of_day,MLP,base,123,2,
0.9950248756218906,0.9922695280950733,0.9950478368512807,0.9878048780487805,0.9968944099378882,0.9999827467218771,time_of_day,MLP,tuned,42,2,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,)}"
0.9966832504145937,0.9948304241967011,0.9966935153797898,0.9918032786885246,0.9979296066252588,0.9998921670117322,time_of_day,MLP,tuned,7,2,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (256,)}"
0.9933665008291874,0.9897242766095224,0.9934070827146432,0.9838709677419355,0.9958592132505175,0.9999137336093858,time_of_day,MLP,tuned,123,2,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (128,)}"
0.9975186104218362,0.9961431182787694,0.997524325763151,0.9938775510204081,0.9984488107549121,1.0,time_of_day,LogisticRegression,base,42,3,
0.9975186104218362,0.9961431182787694,0.997524325763151,0.9938775510204081,0.9984488107549121,1.0,time_of_day,LogisticRegression,base,7,3,
0.9975186104218362,0.9961431182787694,0.997524325763151,0.9938775510204081,0.9984488107549121,1.0,time_of_day,LogisticRegression,base,123,3,
0.9975186104218362,0.9961431182787694,0.997524325763151,0.9938775510204081,0.9984488107549121,1.0,time_of_day,LogisticRegression,tuned,42,3,{'clf__C': 1.0}
0.9975186104218362,0.9961431182787694,0.997524325763151,0.9938775510204081,0.9984488107549121,1.0,time_of_day,LogisticRegression,tuned,7,3,{'clf__C': 1.0}
0.9975186104218362,0.9961431182787694,0.997524325763151,0.9938775510204081,0.9984488107549121,1.0,time_of_day,LogisticRegression,tuned,123,3,{'clf__C': 1.0}
0.9983457402812241,0.9974087822776997,0.9983431626801141,0.998968008255934,0.9958677685950413,1.0,time_of_day,SVM_RBF,base,42,3,
