accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,attribute,baseline,seed,fold
0.35401157981803144,0.35208780715644283,0.35606990696719026,0.3542396251257011,0.3526950281000858,,vehicle_density,random,123,3
0.34739454094292804,0.17188459177409454,0.17913530656357246,0.11579818031430934,0.3333333333333333,,vehicle_density,majority,123,3
0.329734219269103,0.3288101468882091,0.3303310268710991,0.3295324193910823,0.3306574185819951,,vehicle_density,random,42,4
0.31727574750830567,0.16057166876839007,0.15283648871144107,0.10575858250276855,0.3333333333333333,,vehicle_density,majority,42,4
0.3596345514950166,0.3597473778586327,0.35957221651199894,0.36043401494123306,0.3627607899189855,,vehicle_density,random,7,4
0.31727574750830567,0.16057166876839007,0.15283648871144107,0.10575858250276855,0.3333333333333333,,vehicle_density,majority,7,4
0.34219269102990035,0.3409593821124748,0.343770162159245,0.3428401328570534,0.34205153639717456,,vehicle_density,random,123,4
0.31727574750830567,0.16057166876839007,0.15283648871144107,0.10575858250276855,0.3333333333333333,,vehicle_density,majority,123,4
0.4937655860349127,0.49288957153309076,0.4941685527057508,0.49308113489298155,0.4930590617804533,,vru_present,random,42,0
0.4696591853699086,0.3195701357466063,0.30017809924660444,0.2348295926849543,0.5,,vru_present,majority,42,0
0.4970906068162926,0.49641693991377406,0.497534614547498,0.49671178119453985,0.4967001414819541,,vru_present,random,7,0
0.4696591853699086,0.3195701357466063,0.30017809924660444,0.2348295926849543,0.5,,vru_present,majority,7,0
0.49875311720698257,0.49864087332441764,0.49909608462593097,0.49968599568416977,0.499685133298194,,vru_present,random,123,0
0.4696591853699086,0.3195701357466063,0.30017809924660444,0.2348295926849543,0.5,,vru_present,majority,123,0
0.517931609674729,0.517874932518547,0.5178792922997917,0.5179307100466535,0.5179229271007234,,vru_present,random,42,1
0.49958298582151794,0.3331479421579533,0.33287008732712936,0.24979149291075897,0.5,,vru_present,majority,42,1
0.5045871559633027,0.5045702694580787,0.5045726818159679,0.5045831733257643,0.5045826377295493,,vru_present,random,7,1
0.49958298582151794,0.3331479421579533,0.33287008732712936,0.24979149291075897,0.5,,vru_present,majority,7,1
0.5037531276063386,0.5036412605225019,0.503635045684511,0.5037695859721827,0.503765998887034,,vru_present,random,123,1
0.49958298582151794,0.3331479421579533,0.33287008732712936,0.24979149291075897,0.5,,vru_present,majority,123,1
0.47180762852404645,0.4691707014388365,0.4753752357569775,0.4738541047486956,0.4731313399828624,,vru_present,random,42,2
0.5829187396351575,0.3682556312205343,0.42932621682924643,0.29145936981757875,0.5,,vru_present,majority,42,2
0.48175787728026537,0.47865764459080073,0.48532481166491825,0.48271812080536913,0.4822317870868671,,vru_present,random,7,2
0.5829187396351575,0.3682556312205343,0.42932621682924643,0.29145936981757875,0.5,,vru_present,majority,7,2
0.5074626865671642,0.5027018171316865,0.5107710873613097,0.5049919484702093,0.5051285459363308,,vru_present,random,123,2
0.5829187396351575,0.3682556312205343,0.42932621682924643,0.29145936981757875,0.5,,vru_present,majority,123,2
0.5012406947890818,0.4957639515702325,0.5080648907046322,0.5042444821731749,0.5044875766507044,,vru_present,random,42,3
0.6170388751033913,0.38158567774936064,0.4709063947080613,0.30851943755169564,0.5,,vru_present,majority,42,3
