accuracy,macro_f1,macro_precision,macro_recall,f1_class_0,f1_class_1,fit_time_sec,fold,attribute,subset,model,seed,n_features,f1_class_2
0.35802469135802467,0.3459627329192546,0.4087301587301587,0.43136604774535814,0.2571428571428571,0.43478260869565216,0.42510271072387695,3,vru_present,photo_only,RandomForest,42,10,
0.35802469135802467,0.3459627329192546,0.4087301587301587,0.43136604774535814,0.2571428571428571,0.43478260869565216,0.4296603202819824,3,vru_present,photo_only,RandomForest,7,10,
0.37037037037037035,0.36689655172413793,0.4160419790104948,0.42572944297082227,0.32,0.41379310344827586,0.40818071365356445,3,vru_present,photo_only,RandomForest,123,10,
0.38271604938271603,0.375,0.4389344262295082,0.45059681697612736,0.3055555555555556,0.4444444444444444,0.09414196014404297,3,vru_present,photo_only,XGBoost,42,10,
0.38271604938271603,0.375,0.4389344262295082,0.45059681697612736,0.3055555555555556,0.4444444444444444,0.10672259330749512,3,vru_present,photo_only,XGBoost,7,10,
0.38271604938271603,0.375,0.4389344262295082,0.45059681697612736,0.3055555555555556,0.4444444444444444,0.10717010498046875,3,vru_present,photo_only,XGBoost,123,10,
0.5679012345679012,0.4090056285178236,0.4098591549295775,0.45755968169761274,0.7154471544715447,0.10256410256410256,0.04658174514770508,3,vru_present,photo_only,MLP,42,10,
0.35802469135802467,0.2636363636363636,0.17901234567901234,0.5,0.0,0.5272727272727272,0.04656243324279785,3,vru_present,photo_only,MLP,7,10,
0.35802469135802467,0.2636363636363636,0.17901234567901234,0.5,0.0,0.5272727272727272,0.029736757278442383,3,vru_present,photo_only,MLP,123,10,
0.6296296296296297,0.590633423180593,0.5925925925925926,0.5895225464190981,0.7169811320754716,0.4642857142857143,0.2863028049468994,3,vru_present,all_combined,LogisticRegression,42,6216,
0.5925925925925926,0.5533834586466165,0.5539083557951482,0.553050397877984,0.6857142857142857,0.42105263157894735,0.2901628017425537,3,vru_present,all_combined,LogisticRegression,7,6216,
0.6296296296296297,0.590633423180593,0.5925925925925926,0.5895225464190981,0.7169811320754716,0.4642857142857143,0.2858617305755615,3,vru_present,all_combined,LogisticRegression,123,6216,
0.35802469135802467,0.2777777777777778,0.4272151898734177,0.49237400530503983,0.037037037037037035,0.5185185185185185,0.35012197494506836,3,vru_present,all_combined,SVM_RBF,42,6216,
0.35802469135802467,0.2777777777777778,0.4272151898734177,0.49237400530503983,0.037037037037037035,0.5185185185185185,0.3499462604522705,3,vru_present,all_combined,SVM_RBF,7,6216,
0.35802469135802467,0.2777777777777778,0.4272151898734177,0.49237400530503983,0.037037037037037035,0.5185185185185185,0.3514423370361328,3,vru_present,all_combined,SVM_RBF,123,6216,
0.35802469135802467,0.2636363636363636,0.17901234567901234,0.5,0.0,0.5272727272727272,0.6740002632141113,3,vru_present,all_combined,RandomForest,42,6216,
0.35802469135802467,0.2636363636363636,0.17901234567901234,0.5,0.0,0.5272727272727272,0.6983165740966797,3,vru_present,all_combined,RandomForest,7,6216,
0.35802469135802467,0.2636363636363636,0.17901234567901234,0.5,0.0,0.5272727272727272,0.6690969467163086,3,vru_present,all_combined,RandomForest,123,6216,
0.32098765432098764,0.31047825414022595,0.3556876061120543,0.38726790450928383,0.22535211267605634,0.3956043956043956,10.593715190887451,3,vru_present,all_combined,XGBoost,42,6216,
0.3950617283950617,0.3856988082340195,0.4588285229202037,0.46783819628647216,0.30985915492957744,0.46153846153846156,10.915028095245361,3,vru_present,all_combined,XGBoost,7,6216,
0.3950617283950617,0.3856988082340195,0.4588285229202037,0.46783819628647216,0.30985915492957744,0.46153846153846156,11.128353834152222,3,vru_present,all_combined,XGBoost,123,6216,
0.4444444444444444,0.43897183315376326,0.45638820638820643,0.45291777188328913,0.4943820224719101,0.3835616438356164,1.6482861042022705,3,vru_present,all_combined,MLP,42,6216,
0.5432098765432098,0.5387101739264275,0.5558968058968059,0.5603448275862069,0.5842696629213483,0.4931506849315068,1.039555311203003,3,vru_present,all_combined,MLP,7,6216,
0.4444444444444444,0.4430863254392666,0.49857142857142855,0.49867374005305043,0.4155844155844156,0.47058823529411764,1.2906897068023682,3,vru_present,all_combined,MLP,123,6216,
0.95,0.48717948717948717,0.5,0.475,0.9743589743589743,0.0,0.19730210304260254,4,time_of_day,hog_only,LogisticRegression,42,6084,
0.95,0.48717948717948717,0.5,0.475,0.9743589743589743,0.0,0.2075202465057373,4,time_of_day,hog_only,LogisticRegression,7,6084,
0.9625,0.49044585987261147,0.5,0.48125,0.9808917197452229,0.0,0.21751093864440918,4,time_of_day,hog_only,LogisticRegression,123,6084,
1.0,1.0,1.0,1.0,1.0,0.0,0.32408666610717773,4,time_of_day,hog_only,SVM_RBF,42,6084,
1.0,1.0,1.0,1.0,1.0,0.0,0.3238639831542969,4,time_of_day,hog_only,SVM_RBF,7,6084,
1.0,1.0,1.0,1.0,1.0,0.0,0.31491565704345703,4,time_of_day,hog_only,SVM_RBF,123,6084,
1.0,1.0,1.0,1.0,1.0,0.0,0.6378486156463623,4,time_of_day,hog_only,RandomForest,42,6084,
1.0,1.0,1.0,1.0,1.0,0.0,0.6518981456756592,4,time_of_day,hog_only,RandomForest,7,6084,
1.0,1.0,1.0,1.0,1.0,0.0,0.6738147735595703,4,time_of_day,hog_only,RandomForest,123,6084,
0.975,0.4936708860759494,0.5,0.4875,0.9873417721518988,0.0,7.469688653945923,4,time_of_day,hog_only,XGBoost,42,6084,
0.975,0.4936708860759494,0.5,0.4875,0.9873417721518988,0.0,7.647764682769775,4,time_of_day,hog_only,XGBoost,7,6084,
0.975,0.4936708860759494,0.5,0.4875,0.9873417721518988,0.0,7.653061628341675,4,time_of_day,hog_only,XGBoost,123,6084,
0.775,0.43661971830985913,0.5,0.3875,0.8732394366197183,0.0,1.0890436172485352,4,time_of_day,hog_only,MLP,42,6084,
0.825,0.4520547945205479,0.5,0.4125,0.9041095890410958,0.0,1.2046644687652588,4,time_of_day,hog_only,MLP,7,6084,
0.8875,0.47019867549668876,0.5,0.44375,0.9403973509933775,0.0,1.0562565326690674,4,time_of_day,hog_only,MLP,123,6084,
0.85,0.4594594594594595,0.5,0.425,0.918918918918919,0.0,0.01651787757873535,4,time_of_day,color_only,LogisticRegression,42,96,
0.8875,0.47019867549668876,0.5,0.44375,0.9403973509933775,0.0,0.015534162521362305,4,time_of_day,color_only,LogisticRegression,7,96,
0.85,0.4594594594594595,0.5,0.425,0.918918918918919,0.0,0.016025543212890625,4,time_of_day,color_only,LogisticRegression,123,96,
0.8875,0.47019867549668876,0.5,0.44375,0.9403973509933775,0.0,0.013517141342163086,4,time_of_day,color_only,SVM_RBF,42,96,
0.8875,0.47019867549668876,0.5,0.44375,0.9403973509933775,0.0,0.013568878173828125,4,time_of_day,color_only,SVM_RBF,7,96,
