accuracy,macro_f1,macro_precision,macro_recall,f1_class_0,f1_class_1,fold,attribute,model,version,seed,split,fit_time_sec,predict_time_test_sec,best_params,f1_class_2
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,XGBoost,base,42,train,0.941347599029541,0.0045130252838134766,{},
0.8765432098765432,0.8742236024844721,0.9019607843137255,0.875,0.8913043478260869,0.8571428571428571,0,time_of_day,XGBoost,base,42,test,0.941347599029541,0.0045130252838134766,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,XGBoost,base,7,train,0.8314023017883301,0.003002643585205078,{},
0.8765432098765432,0.8742236024844721,0.9019607843137255,0.875,0.8913043478260869,0.8571428571428571,0,time_of_day,XGBoost,base,7,test,0.8314023017883301,0.003002643585205078,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,XGBoost,base,123,train,0.836409330368042,0.003000020980834961,{},
0.8765432098765432,0.8742236024844721,0.9019607843137255,0.875,0.8913043478260869,0.8571428571428571,0,time_of_day,XGBoost,base,123,test,0.836409330368042,0.003000020980834961,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,MLP,base,42,train,0.4493088722229004,0.0010001659393310547,{},
0.5679012345679012,0.5636447591195937,0.5723852040816326,0.5692073170731707,0.5205479452054794,0.6067415730337079,0,time_of_day,MLP,base,42,test,0.4493088722229004,0.0010001659393310547,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,MLP,base,7,train,0.4028503894805908,0.0010001659393310547,{},
0.5925925925925926,0.5373030984940281,0.6920289855072463,0.5969512195121951,0.37735849056603776,0.6972477064220184,0,time_of_day,MLP,base,7,test,0.4028503894805908,0.0010001659393310547,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,MLP,base,123,train,0.37187719345092773,0.0015001296997070312,{},
0.5185185185185185,0.487258561921766,0.5290983606557378,0.5216463414634147,0.36065573770491804,0.6138613861386139,0,time_of_day,MLP,base,123,test,0.37187719345092773,0.0015001296997070312,{},
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,LogisticRegression,tuned,42,train,1.589606761932373,0.00099945068359375,"{""C"": 0.1}",
0.7901234567901234,0.7836606441476827,0.8240740740740741,0.788109756097561,0.8210526315789474,0.746268656716418,0,time_of_day,LogisticRegression,tuned,42,test,1.589606761932373,0.00099945068359375,"{""C"": 0.1}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,LogisticRegression,tuned,7,train,1.2871298789978027,0.0009996891021728516,"{""C"": 0.1}",
0.7901234567901234,0.7836606441476827,0.8240740740740741,0.788109756097561,0.8210526315789474,0.746268656716418,0,time_of_day,LogisticRegression,tuned,7,test,1.2871298789978027,0.0009996891021728516,"{""C"": 0.1}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,LogisticRegression,tuned,123,train,1.2880356311798096,0.0,"{""C"": 0.1}",
0.7901234567901234,0.7836606441476827,0.8240740740740741,0.788109756097561,0.8210526315789474,0.746268656716418,0,time_of_day,LogisticRegression,tuned,123,test,1.2880356311798096,0.0,"{""C"": 0.1}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,SVM_RBF,tuned,42,train,1.2769949436187744,0.01901412010192871,"{""C"": 1.0, ""gamma"": ""scale""}",
0.6790123456790124,0.6388888888888888,0.8059701492537313,0.675,0.7592592592592593,0.5185185185185185,0,time_of_day,SVM_RBF,tuned,42,test,1.2769949436187744,0.01901412010192871,"{""C"": 1.0, ""gamma"": ""scale""}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,SVM_RBF,tuned,7,train,0.3019111156463623,0.01951885223388672,"{""C"": 1.0, ""gamma"": ""scale""}",
0.6790123456790124,0.6388888888888888,0.8059701492537313,0.675,0.7592592592592593,0.5185185185185185,0,time_of_day,SVM_RBF,tuned,7,test,0.3019111156463623,0.01951885223388672,"{""C"": 1.0, ""gamma"": ""scale""}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,SVM_RBF,tuned,123,train,0.3459663391113281,0.019486188888549805,"{""C"": 1.0, ""gamma"": ""scale""}",
0.6790123456790124,0.6388888888888888,0.8059701492537313,0.675,0.7592592592592593,0.5185185185185185,0,time_of_day,SVM_RBF,tuned,123,test,0.3459663391113281,0.019486188888549805,"{""C"": 1.0, ""gamma"": ""scale""}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,RandomForest,tuned,42,train,0.7999989986419678,0.018038511276245117,"{""max_depth"": null, ""n_estimators"": 200}",
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0,time_of_day,RandomForest,tuned,42,test,0.7999989986419678,0.018038511276245117,"{""max_depth"": null, ""n_estimators"": 200}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,RandomForest,tuned,7,train,0.8096530437469482,0.017533540725708008,"{""max_depth"": null, ""n_estimators"": 200}",
0.8148148148148148,0.8072957969865187,0.8660714285714286,0.8125,0.845360824742268,0.7692307692307693,0,time_of_day,RandomForest,tuned,7,test,0.8096530437469482,0.017533540725708008,"{""max_depth"": null, ""n_estimators"": 200}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,RandomForest,tuned,123,train,0.8237628936767578,0.016788721084594727,"{""max_depth"": null, ""n_estimators"": 200}",
0.8024691358024691,0.7933673469387755,0.8596491228070176,0.8,0.8367346938775511,0.75,0,time_of_day,RandomForest,tuned,123,test,0.8237628936767578,0.016788721084594727,"{""max_depth"": null, ""n_estimators"": 200}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,XGBoost,tuned,42,train,10.354589223861694,0.0035071372985839844,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",
0.8765432098765432,0.8742236024844721,0.9019607843137255,0.875,0.8913043478260869,0.8571428571428571,0,time_of_day,XGBoost,tuned,42,test,10.354589223861694,0.0035071372985839844,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,XGBoost,tuned,7,train,11.358282804489136,0.0029990673065185547,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",
0.8765432098765432,0.8742236024844721,0.9019607843137255,0.875,0.8913043478260869,0.8571428571428571,0,time_of_day,XGBoost,tuned,7,test,11.358282804489136,0.0029990673065185547,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,XGBoost,tuned,123,train,11.46769666671753,0.0030002593994140625,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",
0.8765432098765432,0.8742236024844721,0.9019607843137255,0.875,0.8913043478260869,0.8571428571428571,0,time_of_day,XGBoost,tuned,123,test,11.46769666671753,0.0030002593994140625,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,MLP,tuned,42,train,1.9688875675201416,0.0009999275207519531,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128]}",
0.5185185185185185,0.39999999999999997,0.6282467532467533,0.5240853658536585,0.13333333333333333,0.6666666666666666,0,time_of_day,MLP,tuned,42,test,1.9688875675201416,0.0009999275207519531,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [128]}",
1.0,1.0,1.0,1.0,1.0,1.0,0,time_of_day,MLP,tuned,7,train,1.983142614364624,0.0015056133270263672,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [64]}",
